sym,tf,dir,entry,sl,tp,rA,rB,has_idm,swept_entered,bh_a,bh_b,res_a,res_b
ETHUSDT,1h,BUY,2010.32,1977.0161567270711,2065.8264054548813,-0.84655821167208,-0.8691753262585488,True,True,120,120,False,False
ETHUSDT,1h,BUY,1970.27,1935.1381108689136,2028.8231485518104,1.6666666666666603,1.5292653884494125,True,True,110,120,True,False
ETHUSDT,1h,BUY,1936.87,1909.1509835621437,1983.0683607297608,-1.0,-1.0,True,True,83,82,True,True
ETHUSDT,1h,BUY,1942.95,1927.462352259782,1968.7627462336968,-1.0,-1.0,True,True,105,105,True,True
ETHUSDT,1h,BUY,1879.52,1855.3208536637756,1919.8519105603743,1.6666666666666792,1.6218227548986761,True,True,53,120,True,False
ETHUSDT,1h,BUY,1825.7,1795.4826614332885,1876.06223094452,1.6666666666666918,1.5134649536135336,True,True,62,120,True,False
ETHUSDT,1h,BUY,1834.73,1804.2112743087637,1885.594542818728,1.666666666666694,1.6010229957811106,True,True,97,120,True,False
ETHUSDT,1h,SELL,1906.14,1938.2328534213816,1852.651910964364,-0.046250778622662206,-0.0,True,True,120,120,False,False
ETHUSDT,1h,SELL,2057.48,2104.89961828751,1978.4473028541504,0.12301520885493537,-0.0,True,True,120,120,False,False
ETHUSDT,1h,SELL,2058.34,2103.933573931577,1982.3507101140376,-0.09128668139521644,-0.0,True,True,120,120,False,False
ETHUSDT,1h,SELL,2066.13,2107.917865474276,1996.4835575428733,0.09779167671812193,-0.0,True,True,120,120,False,False
ETHUSDT,1h,BUY,1948.59,1912.866644157072,2008.12892640488,-0.7000098658586361,-0.8985827583880378,True,True,120,120,False,False
ETHUSDT,1h,BUY,1929.84,1896.916333521336,1984.71277746444,-1.0,-1.0,True,True,66,66,True,True
ETHUSDT,1h,BUY,1865.09,1828.7518451859555,1925.653591356741,1.666666666666675,1.6666666666666687,True,True,107,107,True,True
ETHUSDT,1h,SELL,2015.7,2060.8535563387727,1940.444072768712,0.000713245429237844,-0.0,True,True,120,120,False,False
ETHUSDT,1h,SELL,2041.01,2092.403204359914,1955.3546594001432,0.1043473445606049,-0.0,True,True,120,120,False,False
ETHUSDT,1h,SELL,2054.97,2098.6942357406288,1982.0962737656184,0.025395417108967235,-0.0,True,True,120,120,False,False
ETHUSDT,1h,SELL,2132.11,2179.2246782175084,2053.585536304153,0.00569933985850062,-0.0,True,True,120,120,False,False
ETHUSDT,1h,BUY,1983.75,1947.810878646202,2043.6485355896632,-0.7859846979678815,-0.7151744035665532,True,True,120,120,False,False
ETHUSDT,1h,BUY,1983.77,1949.441803526572,2040.9836607890463,-1.0,-0.842736516283613,True,True,84,120,True,False
ETHUSDT,1h,BUY,1947.67,1926.6889645029396,1982.6383924951008,-1.0,-0.8827401249594817,True,True,62,120,True,False
ETHUSDT,1h,SELL,2105.81,2143.1603542341104,2043.5594096098157,0.0012547459361761043,-0.0,True,True,120,120,False,False
ETHUSDT,1h,SELL,2151.14,2192.381101153987,2082.4048314100214,0.05898879777273075,-0.0,True,True,120,120,False,False
ETHUSDT,1h,SELL,2243.54,2281.774153065001,2179.816411558332,-0.018434413291577956,-0.0,True,True,120,120,False,False
ETHUSDT,1h,SELL,2273.88,2315.5090054881853,2204.4983241863583,-0.011491219805775381,-0.0,True,True,120,120,False,False
ETHUSDT,1h,SELL,2320.0,2364.775349562907,2245.374417395155,0.07655249569879086,-0.0,True,True,120,120,False,False
ETHUSDT,1h,BUY,2204.02,2165.7984864513787,2267.722522581036,-0.6963199000779811,-0.7676755132040327,True,True,120,120,False,False
ETHUSDT,1h,BUY,2202.49,2162.2500534032124,2269.556577661312,-0.6106716270002422,-0.7662465623942171,True,True,120,120,False,False
ETHUSDT,1h,BUY,2126.96,2087.9567834342265,2191.965360942956,-0.32963290182357086,-0.30287993162595445,True,True,120,120,False,False
ETHUSDT,1h,BUY,2102.29,2077.000454692144,2144.43924217976,-1.0,-0.9308155829017776,True,True,66,120,True,False
ETHUSDT,1h,BUY,2082.44,2057.5055651985567,2123.9973913357385,-0.3687894064184934,-0.4486091898987173,True,True,120,120,False,False
ETHUSDT,1h,BUY,2062.67,2035.475099008775,2107.994834985375,-1.0,-1.0,True,True,67,41,True,True
ETHUSDT,1h,SELL,2128.45,2178.169323452216,2045.584460912973,0.12557941661247632,-0.0,True,True,120,120,False,False
ETHUSDT,1h,BUY,2064.89,2035.666227579196,2113.596287368006,-1.0,-0.9610580290071395,True,True,108,120,True,False
ETHUSDT,1h,BUY,1991.71,1962.922373497846,2039.6893775035896,1.3910271218190582,1.395297475037744,True,True,120,120,False,False
ETHUSDT,1h,SELL,2055.16,2081.4950807059,2011.2681988234997,-0.028341374539300773,-0.0,True,True,120,120,False,False
