sym,tf,dir,entry,sl,tp,rA,rB,has_ob,filled_ob,bh_a,bh_b,res_a,res_b
ETHUSDT,1h,BUY,1947.67,1926.6889645029396,1982.6383924951008,-1.0,-1.0,True,True,62,62,True,True
ETHUSDT,1h,SELL,2105.81,2143.1603542341104,2043.5594096098157,0.0006970525559976767,0.0006970525559976767,True,True,120,120,False,False
ETHUSDT,1h,SELL,2151.14,2192.381101153987,2082.4048314100214,0.05991828673969706,0.05991828673969706,True,True,120,120,False,False
ETHUSDT,1h,SELL,2243.54,2281.774153065001,2179.816411558332,-0.01899210667175738,-0.01899210667175738,True,True,120,120,False,False
ETHUSDT,1h,SELL,2273.88,2315.5090054881853,2204.4983241863583,-0.01204891318594917,-0.01204891318594917,True,True,120,120,False,False
ETHUSDT,1h,SELL,2320.0,2364.775349562907,2245.374417395155,0.0774819846657534,0.0774819846657534,True,True,120,120,False,False
ETHUSDT,1h,BUY,2204.02,2165.7984864513787,2267.722522581036,-1.0,-1.0,True,True,104,104,True,True
ETHUSDT,1h,BUY,2202.49,2162.2500534032124,2269.556577661312,-0.7718495755443917,-0.8179100190844546,True,True,120,120,False,False
ETHUSDT,1h,BUY,2126.96,2087.9567834342265,2191.965360942956,-0.5682995362431968,-0.5986101062803864,True,True,120,120,False,False
ETHUSDT,1h,BUY,2102.29,2077.000454692144,2144.43924217976,-1.0,-1.0,True,True,65,65,True,True
ETHUSDT,1h,BUY,2082.44,2057.5055651985567,2123.9973913357385,-0.5702316923465486,-0.5404750846280629,True,True,120,120,False,False
ETHUSDT,1h,BUY,2062.67,2035.475099008775,2107.994834985375,-1.0,-1.0,True,True,41,41,True,True
ETHUSDT,1h,SELL,2128.45,2178.169323452216,2045.584460912973,0.12502172323229188,0.12502172323229188,True,True,120,120,False,False
ETHUSDT,1h,BUY,2064.89,2035.666227579196,2113.596287368006,-1.0,-1.0,True,True,107,107,True,True
ETHUSDT,1h,BUY,1991.71,1962.922373497846,2039.6893775035896,1.5355759596157617,1.6666666666666456,True,True,120,121,False,True
ETHUSDT,1h,SELL,2055.16,2081.4950807059,2011.2681988234997,-0.028899067919473782,-0.028899067919473782,True,True,120,120,False,False
ETHUSDT,1h,SELL,2060.92,2087.4276392659626,2016.740601223396,0.09974648238002606,0.09974648238002606,True,True,120,120,False,False
ETHUSDT,1h,BUY,2038.81,2010.3115256915776,2086.307457180704,1.2337808765780611,1.2659031577636426,True,True,120,120,False,False
ETHUSDT,1h,BUY,2036.63,2023.129236181505,2059.131273030825,1.5325188699118055,1.4920410855084105,True,True,120,120,False,False
ETHUSDT,1h,SELL,2140.62,2165.878083915099,2098.5231934748344,0.09977397384754508,0.09977397384754508,True,True,120,120,False,False
ETHUSDT,1h,SELL,2236.06,2267.221547707757,2184.1240871537384,0.12261280970353806,0.12261280970355445,True,True,120,120,False,False
ETHUSDT,1h,SELL,2298.32,2324.431848927883,2254.8002517868617,0.02829246089174401,0.0282924608917261,True,True,120,120,False,False
ETHUSDT,1h,BUY,2186.47,2162.146718298958,2227.0088028350688,1.6666666666666479,1.6666666666665981,True,True,95,95,True,True
ETHUSDT,1h,SELL,2353.05,2387.1485342927426,2296.219109512096,0.04422235399122543,0.04422235399122543,True,True,120,120,False,False
ETHUSDT,1h,SELL,2419.99,2456.490172743944,2359.1563787600926,0.009575005861424405,0.009575005861424405,True,True,120,120,False,False
ETHUSDT,1h,BUY,2318.01,2296.113038213675,2354.5049363105422,-1.0,-1.0,True,True,62,62,True,True
ETHUSDT,1h,BUY,2299.65,2275.3350229130388,2340.174961811602,-1.0,-1.0,True,True,50,50,True,True
